,Category,Price,Origin
417,outerwear,60.0,depop
418,outerwear,20.0,depop
419,shirts,30.0,depop
420,outerwear,50.0,depop
421,bottoms,27.0,depop
422,bottoms,22.0,depop
423,outerwear,18.0,depop
424,accessories,30.0,depop
425,bottoms,17.0,depop
426,shirts,25.0,depop
427,bottoms,30.0,depop
428,accessories,15.0,depop
429,shirts,15.0,depop
430,bottoms,30.0,depop
431,bottoms,18.0,depop
432,bottoms,25.0,depop
433,outerwear,28.0,depop
434,shirts,20.0,depop
435,bottoms,14.0,depop
436,bottoms,14.0,depop
437,bottoms,14.0,depop
438,outerwear,15.0,depop
439,shirts,12.0,depop
440,shirts,11.0,depop
441,outerwear,8.0,depop
442,shirts,10.0,depop
443,outerwear,7.6,depop
444,shirts,8.0,depop
445,outerwear,400.0,depop
446,outerwear,300.0,depop
447,outerwear,300.0,depop
448,outerwear,275.0,depop
449,outerwear,185.0,depop
450,outerwear,215.0,depop
451,outerwear,210.0,depop
452,shirts,30.0,depop
453,shirts,12.0,depop
454,shirts,10.0,depop
455,outerwear,15.0,depop
456,bottoms,25.0,depop
457,bottoms,20.0,depop
458,outerwear,290.0,depop
459,shirts,10.0,depop
460,outerwear,30.0,depop
461,bottoms,25.0,depop
462,outerwear,14.0,depop
463,bottoms,85.0,depop
464,outerwear,75.0,depop
465,shirts,10.0,depop
466,shirts,10.0,depop
467,shirts,13.0,depop
468,outerwear,25.0,depop
469,accessories,10.0,depop
470,outerwear,25.0,depop
471,shirts,45.0,depop
472,outerwear,269.5,depop
473,shirts,22.5,depop
474,outerwear,315.0,depop
475,outerwear,297.0,depop
476,outerwear,270.0,depop
477,outerwear,71.0,depop
478,bottoms,25.0,depop
479,outerwear,315.0,depop
480,outerwear,150.0,depop
481,shirts,12.0,depop
482,outerwear,287.99,depop
483,shirts,35.0,depop
484,bottoms,35.0,depop
485,shirts,10.0,depop
486,shirts,15.0,depop
487,outerwear,238.5,depop
488,outerwear,13.0,depop
489,shirts,10.0,depop
490,outerwear,8.0,depop
491,outerwear,100.0,depop
492,outerwear,20.0,depop
493,outerwear,38.0,depop
494,outerwear,26.0,depop
495,bottoms,37.0,depop
496,bottoms,22.0,depop
497,outerwear,33.0,depop
498,outerwear,20.0,depop
499,outerwear,35.0,depop
500,shirts,20.0,depop
501,shirts,12.0,depop
502,shirts,24.0,depop
503,outerwear,18.0,depop
504,shirts,5.0,depop
505,outerwear,8.0,depop
506,outerwear,12.0,depop
507,shirts,14.0,depop
508,outerwear,10.0,depop
509,shirts,10.0,depop
510,outerwear,300.0,depop
511,outerwear,160.0,depop
512,outerwear,40.0,depop
513,outerwear,25.0,depop
514,outerwear,20.0,depop
515,outerwear,15.0,depop
516,shirts,26.0,depop
517,bottoms,30.0,depop
518,outerwear,25.0,depop
519,bottoms,55.0,depop
520,outerwear,300.0,depop
521,bottoms,70.0,depop
522,outerwear,30.0,depop
523,bottoms,20.0,depop
524,outerwear,55.0,depop
525,bottoms,85.0,depop
526,bottoms,90.0,depop
527,outerwear,127.5,depop
528,shirts,22.0,depop
529,shirts,42.0,depop
530,shirts,10.0,depop
531,shirts,10.0,depop
532,bottoms,42.0,depop
533,outerwear,91.0,depop
534,outerwear,50.0,depop
535,outerwear,30.0,depop
536,shirts,19.6,depop
537,shirts,14.0,depop
538,outerwear,26.6,depop
539,outerwear,160.0,depop
540,shirts,18.0,depop
542,outerwear,30.0,depop
543,outerwear,249.99,depop
544,shirts,28.0,depop
545,outerwear,80.0,depop
546,outerwear,30.0,depop
547,outerwear,26.0,depop
548,outerwear,28.0,depop
549,shirts,17.0,depop
550,outerwear,32.0,depop
551,outerwear,26.0,depop
552,accessories,40.0,depop
553,outerwear,75.0,depop
554,shirts,18.0,depop
555,outerwear,20.0,depop
556,bottoms,33.0,depop
557,bottoms,40.0,depop
558,outerwear,27.0,depop
559,accessories,12.0,depop
560,outerwear,30.0,depop
561,shirts,15.0,depop
562,outerwear,140.0,depop
563,bottoms,55.0,depop
565,outerwear,30.0,depop
566,bottoms,25.0,depop
567,shirts,500.0,depop
568,shirts,500.0,depop
569,shirts,500.0,depop
570,outerwear,500.0,depop
571,footwear,25.0,depop
572,outerwear,100.0,depop
573,outerwear,40.0,depop
574,outerwear,45.0,depop
575,outerwear,45.0,depop
576,outerwear,40.0,depop
577,bottoms,15.0,depop
578,outerwear,90.0,depop
579,outerwear,180.0,depop
580,outerwear,110.0,depop
581,bottoms,80.0,depop
582,bottoms,80.0,depop
583,outerwear,126.0,depop
584,outerwear,210.0,depop
585,outerwear,126.0,depop
586,outerwear,24.0,depop
587,outerwear,50.0,depop
588,outerwear,28.0,depop
589,outerwear,15.0,depop
590,outerwear,18.0,depop
591,footwear,45.0,depop
592,outerwear,140.0,depop
593,outerwear,20.0,depop
594,outerwear,24.0,depop
595,bottoms,30.0,depop
596,outerwear,25.0,depop
597,outerwear,29.0,depop
598,outerwear,30.0,depop
599,outerwear,75.0,depop
600,shirts,25.0,depop
601,bottoms,50.0,depop
602,outerwear,25.0,depop
603,footwear,24.0,depop
604,outerwear,18.0,depop
605,bottoms,30.0,depop
606,bottoms,35.0,depop
607,bottoms,30.0,depop
608,bottoms,30.0,depop
609,outerwear,55.0,depop
610,outerwear,35.0,depop
611,outerwear,40.0,depop
612,shirts,20.0,depop
613,bottoms,25.0,depop
614,accessories,16.0,depop
615,bottoms,17.0,depop
616,shirts,24.0,depop
617,bottoms,30.0,depop
618,outerwear,25.0,depop
619,bottoms,27.0,depop
620,shirts,15.0,depop
621,bottoms,52.0,depop
622,bottoms,22.0,depop
623,outerwear,32.0,depop
624,outerwear,25.0,depop
625,outerwear,40.0,depop
626,outerwear,40.0,depop
627,accessories,15.0,depop
628,accessories,25.0,depop
629,shirts,20.0,depop
630,outerwear,30.0,depop
631,bottoms,27.0,depop
632,shirts,30.0,depop
633,outerwear,45.0,depop
634,outerwear,39.0,depop
635,outerwear,16.0,depop
636,shirts,14.0,depop
637,outerwear,20.0,depop
638,shirts,15.0,depop
639,outerwear,15.0,depop
640,shirts,12.0,depop
641,outerwear,15.0,depop
644,outerwear,30.0,depop
645,outerwear,16.0,depop
646,outerwear,20.0,depop
