,Category,Price,Origin
427,shirts,12.0,depop
428,shirts,24.0,depop
429,outerwear,18.0,depop
430,shirts,5.0,depop
431,outerwear,8.0,depop
432,outerwear,12.0,depop
433,shirts,14.0,depop
434,outerwear,10.0,depop
435,shirts,10.0,depop
436,outerwear,300.0,depop
437,outerwear,160.0,depop
438,outerwear,40.0,depop
439,outerwear,25.0,depop
440,outerwear,20.0,depop
441,outerwear,15.0,depop
442,shirts,26.0,depop
443,bottoms,30.0,depop
444,outerwear,25.0,depop
445,bottoms,55.0,depop
446,outerwear,300.0,depop
447,bottoms,70.0,depop
448,outerwear,30.0,depop
449,bottoms,20.0,depop
450,outerwear,55.0,depop
451,bottoms,85.0,depop
452,bottoms,90.0,depop
453,outerwear,127.5,depop
454,shirts,22.0,depop
455,shirts,42.0,depop
456,shirts,10.0,depop
457,shirts,10.0,depop
458,bottoms,42.0,depop
459,outerwear,91.0,depop
460,outerwear,50.0,depop
461,outerwear,30.0,depop
462,shirts,19.6,depop
463,shirts,14.0,depop
464,outerwear,26.6,depop
465,outerwear,160.0,depop
466,shirts,18.0,depop
467,outerwear,30.0,depop
468,outerwear,249.99,depop
469,shirts,28.0,depop
470,outerwear,80.0,depop
471,outerwear,30.0,depop
472,outerwear,26.0,depop
473,outerwear,28.0,depop
474,shirts,17.0,depop
475,outerwear,32.0,depop
476,outerwear,26.0,depop
477,accessories,40.0,depop
478,outerwear,75.0,depop
479,shirts,18.0,depop
480,outerwear,20.0,depop
481,bottoms,33.0,depop
482,bottoms,40.0,depop
483,outerwear,27.0,depop
484,accessories,12.0,depop
485,outerwear,30.0,depop
486,shirts,15.0,depop
487,outerwear,140.0,depop
488,bottoms,55.0,depop
489,outerwear,30.0,depop
490,bottoms,25.0,depop
491,shirts,500.0,depop
492,shirts,500.0,depop
493,shirts,500.0,depop
494,outerwear,500.0,depop
495,footwear,25.0,depop
496,outerwear,100.0,depop
497,outerwear,40.0,depop
498,outerwear,45.0,depop
499,outerwear,45.0,depop
500,outerwear,40.0,depop
501,bottoms,15.0,depop
502,outerwear,90.0,depop
503,outerwear,180.0,depop
504,outerwear,110.0,depop
505,bottoms,80.0,depop
506,bottoms,80.0,depop
507,outerwear,126.0,depop
508,outerwear,210.0,depop
509,outerwear,126.0,depop
510,outerwear,24.0,depop
511,outerwear,50.0,depop
512,outerwear,28.0,depop
513,outerwear,15.0,depop
514,outerwear,18.0,depop
515,footwear,45.0,depop
516,outerwear,140.0,depop
517,outerwear,20.0,depop
518,outerwear,24.0,depop
519,bottoms,30.0,depop
520,outerwear,25.0,depop
521,outerwear,29.0,depop
522,outerwear,30.0,depop
523,outerwear,75.0,depop
524,shirts,25.0,depop
525,bottoms,50.0,depop
526,outerwear,25.0,depop
527,footwear,24.0,depop
528,outerwear,18.0,depop
529,bottoms,30.0,depop
530,bottoms,35.0,depop
531,bottoms,30.0,depop
532,bottoms,30.0,depop
533,outerwear,55.0,depop
534,outerwear,35.0,depop
535,outerwear,40.0,depop
536,shirts,20.0,depop
537,bottoms,25.0,depop
538,accessories,16.0,depop
539,bottoms,17.0,depop
540,shirts,24.0,depop
541,bottoms,30.0,depop
542,outerwear,25.0,depop
543,bottoms,27.0,depop
544,shirts,15.0,depop
545,bottoms,52.0,depop
546,bottoms,22.0,depop
547,outerwear,32.0,depop
548,outerwear,25.0,depop
549,outerwear,40.0,depop
550,outerwear,40.0,depop
551,accessories,15.0,depop
552,accessories,25.0,depop
553,shirts,20.0,depop
554,outerwear,30.0,depop
555,bottoms,27.0,depop
