,Country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Average,Cont.
11,Barbados,119613.0,138781.0,153106.0,119547.0,102136.0,33407.0,14396.0,15625.0,18601.0,18134.0,59499.0,123925.0,244920.0,3215.0,2186.0,470.0,2828.0,5951.0,14504.0,6803.0,310.0,41916.1251260178,1308.8920180392,20908.676935818,284.270574546,749.278265274,7394.6500773516,3562.54213584571,0.4638524688,3105.8150352768,25.7856998364,720.9638640036,2644.2606644496,1561.2597280854,37709.99952873568,N. America
12,Trinidad and Tobago,176052.0,188928.0,150619.0,137103.0,322093.0,632188.0,723185.0,431209.0,419713.0,511709.0,328150.0,309539.0,276020.0,170428.0,82100.0,93536.0,108006.0,40463.0,27478.0,18482.0,8174.0,229.318166574,1366.1385556644,337.1244028362,409.2320769012,677.2164473466,174.9651953238,3181.043572245,279.7557291522,393.0192867132,341.4734606556,13288.574055645,1753.9760988288,2675.7781610238,152361.25338849734,N. America
13,Colombia,24681035.0,24792353.0,33423322.0,35012009.0,35327103.0,33918001.0,29314865.0,28437588.0,26724994.0,30323018.0,40057975.0,42758432.0,39411129.0,43333217.0,66636607.0,71537015.0,65211922.0,57539905.0,39449697.0,30390862.0,21249871.0,27600257.7169483,20006993.8637769,18881710.8643562,21366534.2148555,18838978.0436241,21765125.6459747,20329763.545853,21343886.28277,23891803.2680136,23981308.5752753,11942917.5752842,20017355.2622156,19872106.1388311,32040284.146993488,S. America
14,Venezuela,4599013.0,3949014.0,2745377.0,2229517.0,1999897.0,362159.0,3203701.0,215555.0,180343.0,170114.0,123149.0,48643.0,91578.0,318393.0,182673.0,61767.0,22068.0,72765.0,19016.0,7351.0,12641.0,3593.4569186922,900.5204051046,998.7100802028,3123.9176274432,858.5296312572,1401.437419893,1255.8984167142,16819.3209741564,24243.5125136988,7165.7946609354,16148.9006833644,1244.7176762412,1404.6213349854,608643.9217159613,S. America
15,Ecuador,239339.0,215024.0,423082.0,874223.0,1991254.0,4223584.0,2428576.0,2578269.0,3338087.0,2404124.0,3085096.0,3842285.0,4358285.0,2539336.0,2020186.0,2255465.0,1756801.0,1184303.0,1736182.0,261817.0,150438.0,161931.669137167,102819.751233772,95580.8715898386,86337.9817294176,110671.40909,79404.965168823,118244.521932087,194529.963104772,155138.299727456,149421.053053932,195249.927636893,294315.298655553,209749.614315633,1289975.0390110398,S. America
16,Peru,24135858.0,19201304.0,19491204.0,15080320.0,17755442.0,20671253.0,19403345.0,19007405.0,23619917.0,25411176.0,35583715.0,44458619.0,40370669.0,42680801.0,46121191.0,59909165.0,62469918.0,58032881.0,52932793.0,46434222.0,35096231.0,38298133.7660584,33976284.2227123,29568098.4992539,28216164.0475577,26754586.1859164,25305651.0115462,23918068.8871452,24530225.6207306,25122066.8535682,25323373.5043927,20322238.7334528,29935717.6388036,33138152.1761638,32125770.298450056,S. America
17,Bolivia,657161.0,598001.0,477635.0,416631.0,602112.0,779196.0,839286.0,1334900.0,1296309.0,1923740.0,1835387.0,2433603.0,2553438.0,2445532.0,3115605.0,4016928.0,2967565.0,3101667.0,2388209.0,1683140.0,832058.0,507853.721886223,900644.858882509,398446.596933638,39119.5837243134,17378.505014409,18559.200247308,6422.1968247066,6429.7046649276,8391.5413444044,5345.5754030238,5640.4685077524,29933.8202496186,13098.605084838,1125157.864081402,S. America
18,Chile,7287757.0,9126942.0,5253483.0,4919146.0,5647165.0,5317788.0,5516642.0,5628110.0,2183474.0,291956.0,245452.0,589203.0,281511.0,552502.0,268768.0,1510643.0,1048002.0,792858.0,253275.0,120305.0,664758.0,1028326.75124768,134736.097658488,85379.1327582102,67449.811535127,84503.132599914,96528.3819696378,118501.293858435,149437.211600956,105082.657707434,97870.91982633,120757.559590168,112739.030367365,122235.320141852,1759508.4500253412,S. America
19,Brazil,81806809.0,51565303.0,64668171.0,113067911.0,84621115.0,91006384.0,63459623.0,44041917.0,33123195.0,25178085.0,33973056.0,60455788.0,56803668.0,87136040.0,106682053.0,99273066.0,108722567.0,100309633.0,84912982.0,62392823.0,43049712.0,33025664.0454487,3740005.66608431,2271154.21258478,2159234.21009306,2579626.90323672,2852856.30112589,3254404.01529621,3745647.05505918,3105701.92560185,2522663.73207058,2069050.5058089,2223823.27215397,2122469.25503841,45938888.29704713,S. America
20,Paraguay,4205567.0,2675694.0,367542.0,1433317.0,1152887.0,670169.0,38240.0,12779.0,18061.0,30015.0,54800.0,26119.0,5303.0,206961.0,714790.0,206628.0,256629.0,51084.0,71620.0,11003.0,1397.0,11216.315355903,4197.2054401998,7937.0375751954,13946.6517384852,737.3228206302,1280.0579873634,5679.04423334713,1180.00706611612,4869.6722499096,25124.2892060202,28589.139059418,314039.060711964,576830.21211013,388418.55928102,S. America
21,Uruguay,2883391.0,1518193.0,960578.0,759150.0,440883.0,216951.0,27693.0,20570.0,17585.0,9438.0,13512.0,29097.0,29846.0,84218.0,35731.0,57877.0,67579.0,41862.0,31154.0,52710.0,24617.0,12147.7608756504,8770.1529854232,3065.8104053892,4469.3554439142,4478.6320523658,1185.0595026102,2390.48949838901,3869.88457993338,2291.1304854312,5152.711983993,33928.0659838764,6636.5919049626,6297.37046568,218156.41224022408,S. America
22,Argentina,16707029.0,9904107.0,1681567.0,6119855.0,8499337.0,3681905.0,4154732.0,707165.0,673881.0,481076.0,209766.0,252344.0,547497.0,9020229.0,3427527.0,5806214.0,10207117.0,777828.0,343630.0,258193.0,236082.0,514645.55776087,239467.035263135,186641.754843676,153550.182191855,110777.099770991,122298.287673568,110045.836326441,110881.644001596,28799.7860618118,50385.119030064,84705.716417805,111936.638128405,386553.830134223,2526699.1025766013,S. America
23,Iceland,36499.0,26589.0,23563.0,15040.0,6370.0,3238.0,8817.0,15101.0,1196.0,3694.0,3959.0,4557.0,18882.0,9562.0,2518.0,51428.0,39961.0,18585.0,8223.0,728.0,107.0,110.2311,3578.278978071,381.4489895328,229.1530403862,487.110128589,7060.9470273972,1440.38123110834,4471.43940013263,1237.8176503056,360.5136785586,11091.9673998504,10055.3190819606,2833.3848241062,10057.499780294076,Europe
24,Sweden,675721.0,905093.0,909198.0,750382.0,623174.0,821680.0,965147.0,941020.0,708915.0,756002.0,1224902.0,1108214.0,824352.0,893558.0,1051767.0,892149.0,813103.0,788355.0,689700.0,612554.0,515978.0,487131.055963335,338701.140774423,208826.078538697,331705.988045069,312454.056102628,338030.810904818,294095.31655014,302225.727663276,348112.8361163,306935.46659475,257246.012288929,615415.28589193,312557.663856753,644835.3364497367,Europe
