ID,User_id,Sold,Gender,Category,subcategory,size,State,Brand,Colors,Price,Image,Description,Title,Platform,Address,discountedPriceAmount,dateUpdated
321918566,6955273,P,male,outerwear,jackets,,Used - Good,carhartt,"Black,Brown",71.0,,"black carhartt Detroit jacket winter heavy warm
Brown Corduroy collar
Decent amount of wear, some small distressing on cuffs, very small bleac stain on right sleeve, collar somewhat faded

 size 50 regular (xxl)

28” pit to pit 
Shoulders to bottom 31”
Sleeves 24”

 #carhartt #carharttjacket #winter #workwear #winterjacket",vxmatt1000 heavy duty black carhartt winter,Depop,"Perrysburg, United States",,2022-12-21T17:11:46.167913Z
327726767,6955273,P,female,bottoms,jeans,,Used - Good,levi-s,Blue,25.0,,"Levis bootcut flared jeans
 low boot cut 527

Waist 34
Inseam 30
Bottom cuff: 10”
Hips 42”
Top to bottom length: 41”
#levis #bootcut #levis527 #country #boots",vxmatt1000 levis bootcut flared jeans low,Depop,"Perrysburg, United States",,2022-12-21T17:07:11.235044Z
329963962,6955273,P,male,outerwear,jackets,,Used - Good,carhartt,Green,315.0,,"Green Detroit Carhartt Jacket flannel lined (J97 Moss) in Large

Distressed condition very rare and discontinued jacket

Great fit for a men’s large and slightly oversized fit for a men’s medium - see measurements 

Pit to pit: 26”
Sleeves: 25”
Top of shoulder to bottom: 26”

#workwear #detroit #olivegreen #utility",vxmatt1000 green detroit carhartt jacket flannel 9b57,Depop,"Perrysburg, United States",315.0,2022-12-17T21:14:56.160221Z
323240219,6955273,P,male,outerwear,jackets,,Used - Good,carhartt,Green,150.0,,"Vintage Carhartt Jacket Dark Olive Green (JQ1066) from 1997

Beautifully sun-faded olive green color. No tears, rips, or holes. Ends of sleeves are in perfect condition (rare for 1997)

Size XL. Waist: 27” Shoulders: 23” Shoulders to bottom: 27” Sleeves: 23” Oversized fit for Men’s Large

Will be a warm winter and fall jacket that will last decades.

#olivegreen #darkgreen #carharttjacket #vintagecarhartt #travis",vxmatt1000 1997 carhartt jacket dark olive,Depop,"Perrysburg, United States",,2022-12-17T16:26:32.266809Z
327724838,6955273,P,male,shirts,tshirts,,Used - Good,colosseum,"Blue,Yellow",12.0,,"Michigan t-shirt y2k embroidered blue and yellow

Size medium 
Pit to pit 19”
Top to bottom 24.5”

#goblue #michigan #wolverines",vxmatt1000 michigan t shirt y2k embroidered blue,Depop,"Perrysburg, United States",,2022-12-15T20:02:17.127063Z
325395498,6955273,P,male,outerwear,jackets,,Like new,carhartt,Green,287.99,,"Green Detroit Carhartt Jacket flannel lined (J97 Moss) in XL

MINT condition very rare and discontinued jacket

Pit to pit: 27”
Sleeves: 25.5
Top of shoulder to bottom: 27”

#carhartt #detroit #olivegreen #rare #interstellar",vxmatt1000 green detroit carhartt jacket flannel,Depop,"Perrysburg, United States",287.99,2022-12-15T01:58:45.420526Z
329835708,6955273,P,male,shirts,tshirts,,Used - Good,,"Red,Black",35.0,,"Jesse pinkman style shirt red and black long sleeve metal goth cyber y2k type 

Size large 
Pit to pit 21”
Top to bottom 26”
Sleeves 24”

#jessepinkman #cyber #y2k #punk",vxmatt1000 jesse pinkman style shirt red,Depop,"Perrysburg, United States",,2022-12-14T19:30:43.078993Z
329834236,6955273,P,male,bottoms,jeans,,Used - Good,duke,Black,35.0,,"Distressed baggy black denim jeans skater elastic waist 
Frayed bottoms 

Size 38s inseam 23” could easily fit a 34
38 by 23”

Top to bottom 34.5”

#skater #y2k #distressed #grunge #jessepinkman",vxmatt1000 distressed baggy black denim jeans,Depop,"Perrysburg, United States",,2022-12-14T19:10:20.443485Z
329831967,6955273,P,male,shirts,tshirts,,Used - Good,dickies,Grey,10.0,,"Dickies t-shirt three buttons

Size large 
Pit to pit 21”
Top to bottom 28”

#dickies #workwear #utility #jamiefoy",vxmatt1000 dickies t shirt three buttons size,Depop,"Perrysburg, United States",,2022-12-14T18:50:42.794808Z
329829892,6955273,P,male,shirts,tshirts,,Used - Good,ecko-unltd,Black,15.0,,"Ecko unltd y2k shirt black 

Size large 
Pit to pit 21”
Top to bottom 28”

#skater #y2k #ecko #jessepinkmam",vxmatt1000 ecko unltd y2k shirt black,Depop,"Perrysburg, United States",,2022-12-14T18:32:31.795626Z
324372168,6955273,P,male,outerwear,jackets,,Used - Good,carhartt,Blue,238.5,,"Vintage Carhartt Jean Jacket with Aztec Blanket Lined interior (1994)

Very rare piece. Made in USA from 1994-1995. Code PJB008 

Size is Large. Pit to pit 24”. Shoulders to bottom 26”. Shoulders 22”. Sleeves 23”

Slightly distressed condition. Blanket lining has some fuzz. 

#vintagecarhartt #jeanjacket #travis #vintagedenim #carharttjacket",vxmatt1000 vintage carhartt jean jacket with,Depop,"Perrysburg, United States",238.5,2022-12-13T02:09:38.638155Z
